pcc: 0.9998394991081312
rmse: 1541.4222604286965
baseline_rmse0: 2664.8652714029477
baseline_rmse1: 3752.1435020875683
Code,Name,Pred,Actual,Label
005930,삼성전자,79498,78300,9
000660,SK하이닉스,128138,131000,9
207940,삼성바이오로직스,895195,892432,5
005935,삼성전자우,72336,71200,9
005490,POSCO홀딩스,276414,274500,8
005380,현대차,213841,209000,9
051910,LG화학,633770,615000,9
000270,기아,84153,82200,9
035420,NAVER,385486,378500,9
006400,삼성SDI,669062,655000,9
247540,에코프로비엠,125493,123739,9
003670,포스코퓨처엠,143827,144000,9
068270,셀트리온,195414,190729,1
028260,삼성물산,114935,119000,8
012330,현대모비스,263346,254500,9
105560,KB금융,54855,55000,8
055550,신한지주,36830,36800,8
066570,LG전자,141811,138000,9
096770,SK이노베이션,237324,234672,9
032830,삼성생명,64694,64100,8
018260,삼성에스디에스,160947,156500,9
000810,삼성화재,203560,202000,8
086790,하나금융지주,42281,42050,8
034730,SK,257347,251000,9
015760,한국전력,21901,22100,8
033780,KT&G,78943,79000,8
091990,셀트리온헬스케어,79028,77199,1
138040,메리츠금융지주,42503,44000,8
009150,삼성전기,198764,197500,9
011200,HMM,27358,26900,8
010130,고려아연,518245,511000,8
047050,포스코인터내셔널,22444,22450,8
034020,두산에너빌리티,20618,20400,8
316140,우리금융지주,12723,12700,8
024110,기업은행,10345,10300,8
022100,포스코DX,6570,6560,9
030200,KT,30710,30600,8
042660,한화오션,20120,20478,8
003490,대한항공,29685,29350,8
010950,S-Oil,86999,85700,8
090430,아모레퍼시픽,173497,167000,8
009540,HD한국조선해양,94938,94600,8
001570,금양,4925,4905,9
011170,롯데케미칼,209997,206694,8
086280,현대글로비스,173571,168000,9
012450,한화에어로스페이스,47820,48000,8
066970,엘앤에프,224680,222400,9
042700,한미반도체,18669,18925,9
036570,엔씨소프트,673625,643000,2
005830,DB손해보험,53494,54000,8
011070,LG이노텍,371355,364000,9
009830,한화솔루션,45579,44290,9
161390,한국타이어앤테크놀로지,39881,39700,8
088980,맥쿼리인프라,13791,14018,8
005070,코스모신소재,45861,45588,9
307950,현대오토에버,141291,138000,9
051900,LG생활건강,1101096,1097000,8
251270,넷마블,121468,125000,2
028050,삼성엔지니어링,22741,22900,8
097950,CJ제일제당,392619,387500,0
004020,현대제철,40821,41000,8
271560,오리온,107367,103500,5
032640,LG유플러스,13524,13600,8
241560,두산밥캣,40781,40750,8
047810,한국항공우주,32156,32450,8
034220,LG디스플레이,24521,24600,9
006800,미래에셋증권,8615,8650,8
028300,HLB,31550,31214,5
196170,알테오젠,63667,63143,1
000720,현대건설,44490,44450,8
005387,현대차2우B,101900,101000,9
078930,GS,39130,39100,8
018880,한온시스템,13825,13450,9
128940,한미약품,275329,271055,5
029780,삼성카드,31444,31500,8
021240,코웨이,76103,74400,8
011780,금호석유,174125,166000,9
180640,한진칼,62695,61400,5
016360,삼성증권,45099,44900,8
005940,NH투자증권,12523,12500,8
035900,JYP Ent.,51323,50700,2
035250,강원랜드,24132,24050,8
071050,한국금융지주,80528,80700,8
068760,셀트리온제약,122065,118571,1
010620,현대미포조선,69174,70000,8
267260,HD현대일렉트릭,20020,19900,8
272210,한화시스템,16251,16000,9
058470,리노공업,198794,198300,9
004990,롯데지주,29979,29900,8
064350,현대로템,21281,20800,7
001450,현대해상,23179,22950,8
006260,LS,53414,54100,8
001040,CJ,83730,83400,8
005385,현대차우,100884,98500,9
000990,DB하이텍,73759,72700,9
214150,클래시스,19278,18800,9
008770,호텔신라,77622,78000,8
007070,GS리테일,30517,30400,8
008930,한미사이언스,54949,53209,5
004370,농심,326676,318500,5
000120,CJ대한통운,127663,126000,9
051915,LG화학우,297740,287000,9
039490,키움증권,106995,107000,8
088350,한화생명,2982,2935,8
028670,팬오션,5490,5410,8
081660,휠라홀딩스,35031,35850,8
002790,아모레G,44906,44350,8
138930,BNK금융지주,8318,8400,8
282330,BGF리테일,144678,145500,8
030000,제일기획,23232,22850,8
052690,한전기술,85349,85000,8
010120,LS ELECTRIC,55496,55800,8
012750,에스원,73329,73900,8
036460,한국가스공사,38299,39100,8
023530,롯데쇼핑,87211,87200,8
112610,씨에스윈드,64596,65700,9
175330,JB금융지주,8140,8350,8
014680,한솔케미칼,309307,305500,9
