pcc: 0.9998142198079432
rmse: 1111.9269811907616
baseline_rmse0: 1431.092789319707
baseline_rmse1: 2173.9990856408713
Code,Name,Pred,Actual,Label
005930,삼성전자,70833,71700,49
373220,LG에너지솔루션,451318,442500,90
000660,SK하이닉스,127225,128000,49
207940,삼성바이오로직스,724959,709000,46
005935,삼성전자우,56152,57200,49
005490,POSCO홀딩스,478184,472500,90
005380,현대차,185166,184000,34
051910,LG화학,515871,514000,65
000270,기아,84625,84200,34
035420,NAVER,204834,205500,98
006400,삼성SDI,478009,463000,90
247540,에코프로비엠,245102,243000,90
003670,포스코퓨처엠,308119,303500,90
068270,셀트리온,173693,168000,10
035720,카카오,50352,50500,48
028260,삼성물산,118510,116100,48
012330,현대모비스,233298,232500,34
105560,KB금융,54361,53700,48
086520,에코프로,707751,695000,90
055550,신한지주,36989,36750,48
066570,LG전자,106096,104900,48
096770,SK이노베이션,143595,141500,90
032830,삼성생명,70881,69800,61
003550,LG,83510,82200,48
018260,삼성에스디에스,146835,155200,98
000810,삼성화재,263633,261500,61
323410,카카오뱅크,26027,25550,48
086790,하나금융지주,42327,41750,48
034730,SK,163443,160700,48
015760,한국전력,18763,18790,48
033780,KT&G,90459,90600,88
091990,셀트리온헬스케어,76744,73800,10
017670,SK텔레콤,51799,51800,88
138040,메리츠금융지주,55753,54400,48
009150,삼성전기,137372,137000,45
329180,HD현대중공업,121161,119900,70
011200,HMM,16286,15670,60
259960,크래프톤,210759,205500,20
010130,고려아연,493291,491500,72
047050,포스코인터내셔널,58590,58900,90
034020,두산에너빌리티,15051,15020,86
316140,우리금융지주,12723,12700,48
024110,기업은행,11682,11700,48
352820,하이브,213997,210500,73
022100,포스코DX,56857,57100,90
030200,KT,33182,32900,48
042660,한화오션,27060,22650,70
003490,대한항공,22902,22400,22
010950,S-Oil,69630,70100,81
090430,아모레퍼시픽,131779,130000,67
009540,HD한국조선해양,102015,102000,70
010140,삼성중공업,7845,7630,70
001570,금양,100506,105300,90
402340,SK스퀘어,49047,48050,48
011170,롯데케미칼,153811,154600,81
086280,현대글로비스,179385,177100,34
326030,SK바이오팜,91928,86800,38
012450,한화에어로스페이스,120760,120100,28
066970,엘앤에프,146955,144300,90
377300,카카오페이,45741,45200,48
042700,한미반도체,58354,60800,49
036570,엔씨소프트,266873,269500,17
005830,DB손해보험,82490,81300,61
011070,LG이노텍,243126,243500,65
009830,한화솔루션,34525,33800,48
161390,한국타이어앤테크놀로지,45078,44800,34
088980,맥쿼리인프라,12342,12400,36
005070,코스모신소재,162748,159000,90
307950,현대오토에버,169768,172700,55
302440,SK바이오사이언스,68816,67400,10
051900,LG생활건강,344141,337500,62
251270,넷마블,54562,55500,46
361610,SK아이이테크놀로지,69859,69300,65
028050,삼성엔지니어링,25941,25750,57
267250,HD현대,60630,60900,57
097950,CJ제일제당,324378,319500,93
000100,유한양행,63689,61900,2
004020,현대제철,35180,35550,81
271560,오리온,118816,118600,48
032640,LG유플러스,10393,10350,93
241560,두산밥캣,44101,43600,72
047810,한국항공우주,47168,46650,72
034220,LG디스플레이,13068,12600,48
006800,미래에셋증권,7349,7300,48
028300,HLB,32081,31950,46
196170,알테오젠,74851,74100,2
000720,현대건설,37139,36850,57
005387,현대차2우B,109050,108400,34
078930,GS,42799,42950,93
018880,한온시스템,7284,7260,22
128940,한미약품,309633,303000,38
029780,삼성카드,33080,32650,48
021240,코웨이,50572,50300,93
011780,금호석유,129452,128200,81
011790,SKC,97848,97000,65
180640,한진칼,53567,53600,88
403870,HPSP,35423,36000,66
277810,레인보우로보틱스,163475,164300,23
016360,삼성증권,38837,38650,48
005940,NH투자증권,10430,10340,48
035900,JYP Ent.,98518,97100,72
035250,강원랜드,15716,15750,93
383220,F&F,88527,87800,62
071050,한국금융지주,58651,58000,48
068760,셀트리온제약,90606,85700,10
010620,현대미포조선,79541,79500,70
267260,HD현대일렉트릭,84361,86800,72
003410,쌍용C&E,6027,6060,88
272210,한화시스템,15631,15800,72
058470,리노공업,173758,175500,49
004990,롯데지주,29332,29300,93
064350,현대로템,26120,25800,28
001450,현대해상,31014,31000,61
006260,LS,85405,85100,72
001040,CJ,88453,89500,67
005385,현대차우,108030,107500,34
000990,DB하이텍,54602,56400,49
214150,클래시스,39441,39200,73
008770,호텔신라,67190,66500,67
007070,GS리테일,25275,25000,93
008930,한미사이언스,36835,35700,38
004370,농심,433175,424500,29
263750,펄어비스,40969,40600,64
000120,CJ대한통운,96365,95800,93
051915,LG화학우,312929,312000,90
039490,키움증권,91814,92000,48
088350,한화생명,2833,2820,61
028670,팬오션,4266,4220,74
081660,휠라홀딩스,38995,39000,48
002790,아모레G,29129,28600,67
138930,BNK금융지주,7116,7130,48
282330,BGF리테일,131267,131100,93
030000,제일기획,20173,20050,93
052690,한전기술,59063,59500,86
010120,LS ELECTRIC,74975,76800,72
012750,에스원,59674,59900,93
036460,한국가스공사,24268,24500,48
293490,카카오게임즈,26865,26500,98
023530,롯데쇼핑,79696,79200,93
112610,씨에스윈드,53132,51900,90
175330,JB금융지주,10843,10830,48
014680,한솔케미칼,182793,184300,45
139480,이마트,77586,77900,93
357780,솔브레인,262709,267500,49
079550,LIG넥스원,92950,91500,89
