pcc: 0.9995168900843987
rmse: 2324.1141536077785
baseline_rmse0: 2769.7989637539126
baseline_rmse1: 3707.939224079785
Code,Name,Pred,Actual,Label
005930,삼성전자,73528,72700,2
373220,LG에너지솔루션,435093,447000,5
000660,SK하이닉스,132906,130400,2
207940,삼성바이오로직스,730045,729000,4
005935,삼성전자우,58561,57800,2
005490,POSCO홀딩스,477901,483000,5
005380,현대차,186561,184800,0
051910,LG화학,504123,504000,5
000270,기아,84958,86000,0
035420,NAVER,207361,207500,3
006400,삼성SDI,454997,471500,5
247540,에코프로비엠,244541,269500,5
003670,포스코퓨처엠,304476,327500,5
068270,셀트리온,165683,161700,4
035720,카카오,51066,50500,3
028260,삼성물산,118936,117800,3
012330,현대모비스,234556,230500,0
105560,KB금융,52373,51700,3
086520,에코프로,710855,740000,5
055550,신한지주,36978,36300,3
066570,LG전자,104430,103400,3
096770,SK이노베이션,141304,142300,5
032830,삼성생명,70358,69400,3
003550,LG,82951,82200,3
018260,삼성에스디에스,164334,166200,8
000810,삼성화재,273452,262000,6
323410,카카오뱅크,26282,26000,3
086790,하나금융지주,41578,41250,3
034730,SK,166482,164700,3
015760,한국전력,18967,18570,3
033780,KT&G,90542,88500,3
091990,셀트리온헬스케어,73088,71300,4
017670,SK텔레콤,52268,51900,3
138040,메리츠금융지주,54966,54200,3
009150,삼성전기,145682,146100,2
329180,HD현대중공업,126326,122700,6
011200,HMM,15460,15450,3
259960,크래프톤,215858,216000,3
010130,고려아연,498387,493000,6
047050,포스코인터내셔널,57609,58000,5
034020,두산에너빌리티,15272,15070,7
316140,우리금융지주,12912,12800,3
024110,기업은행,11713,11720,3
352820,하이브,212726,215000,9
022100,포스코DX,57472,58000,5
030200,KT,33478,33300,3
042660,한화오션,25783,26800,6
003490,대한항공,22335,22100,3
010950,S-Oil,70556,69100,6
090430,아모레퍼시픽,132495,132900,1
009540,HD한국조선해양,109148,107500,6
010140,삼성중공업,8245,8020,6
001570,금양,115594,121000,5
402340,SK스퀘어,50166,49950,3
011170,롯데케미칼,158800,157000,3
086280,현대글로비스,179617,177700,6
326030,SK바이오팜,87458,84700,4
012450,한화에어로스페이스,120590,123100,6
066970,엘앤에프,145442,168700,5
377300,카카오페이,46373,45550,3
042700,한미반도체,62303,61100,2
036570,엔씨소프트,264825,263500,3
005830,DB손해보험,82967,81500,6
011070,LG이노텍,240267,236500,2
161390,한국타이어앤테크놀로지,46058,44900,0
088980,맥쿼리인프라,12432,12430,3
005070,코스모신소재,158253,164600,5
307950,현대오토에버,184730,191200,0
302440,SK바이오사이언스,68777,67800,4
051900,LG생활건강,336120,331500,1
251270,넷마블,60043,58900,4
361610,SK아이이테크놀로지,68986,70100,5
028050,삼성엔지니어링,26297,25000,6
267250,HD현대,62103,61000,6
097950,CJ제일제당,317792,315500,3
000100,유한양행,63067,61700,4
004020,현대제철,36277,35100,6
271560,오리온,117494,116600,1
032640,LG유플러스,10463,10410,3
241560,두산밥캣,45504,45250,6
047810,한국항공우주,46844,46350,6
034220,LG디스플레이,12838,12430,2
006800,미래에셋증권,7226,7080,3
028300,HLB,32688,31950,4
196170,알테오젠,79285,78600,4
000720,현대건설,37274,35850,3
005387,현대차2우B,109782,109600,0
078930,GS,43171,42400,3
018880,한온시스템,7302,7190,0
128940,한미약품,310280,303500,4
029780,삼성카드,32680,32400,3
021240,코웨이,52668,50400,3
011780,금호석유,129015,127600,3
011790,SKC,97487,95600,5
180640,한진칼,53963,53800,3
403870,HPSP,41607,42900,2
277810,레인보우로보틱스,196025,177100,8
016360,삼성증권,38675,38350,3
005940,NH투자증권,10434,10280,3
035900,JYP Ent.,94889,93900,9
035250,강원랜드,15588,15540,3
383220,F&F,85435,84700,1
071050,한국금융지주,58863,58200,3
068760,셀트리온제약,82551,79600,4
010620,현대미포조선,80748,78700,6
267260,HD현대일렉트릭,85887,86200,6
003410,쌍용C&E,6066,5990,3
272210,한화시스템,15420,15780,6
058470,리노공업,193487,193800,2
004990,롯데지주,28679,27700,3
064350,현대로템,26044,26350,6
001450,현대해상,31080,30650,3
006260,LS,85447,85000,6
001040,CJ,92714,90100,1
005385,현대차우,108864,108700,0
000990,DB하이텍,61199,58100,2
214150,클래시스,38795,39500,9
008770,호텔신라,65046,64600,1
007070,GS리테일,24832,24200,3
008930,한미사이언스,36345,35700,4
004370,농심,416442,410500,1
263750,펄어비스,38959,38600,4
000120,CJ대한통운,103038,107200,3
051915,LG화학우,310518,313500,5
039490,키움증권,91245,91100,3
088350,한화생명,2818,2730,3
028670,팬오션,4427,4370,3
081660,휠라홀딩스,39275,38300,3
002790,아모레G,28151,28200,1
138930,BNK금융지주,7185,7160,3
282330,BGF리테일,129311,132500,3
030000,제일기획,20287,19820,3
052690,한전기술,60478,59500,7
010120,LS ELECTRIC,76579,75800,6
012750,에스원,60764,59600,3
036460,한국가스공사,24532,24500,3
293490,카카오게임즈,27277,26900,3
023530,롯데쇼핑,78442,76800,3
112610,씨에스윈드,51540,51300,7
175330,JB금융지주,10812,10790,3
014680,한솔케미칼,184656,187100,2
139480,이마트,77942,76000,3
357780,솔브레인,274523,272000,2
079550,LIG넥스원,95836,95400,6
041510,에스엠,87678,87000,9
020150,롯데에너지머티리얼즈,43982,44950,5
298040,효성중공업,203788,212000,6
111770,영원무역,44755,44450,1
039030,이오테크닉스,164153,158600,2
005290,동진쎄미켐,37977,37350,2
047040,대우건설,4602,4555,3
007660,이수페타시스,30698,29800,2
002380,KCC,227835,211500,3
145020,휴젤,155531,151600,4
000880,한화,25483,24700,6
026960,동서,18247,18270,3
112040,위메이드,51208,53000,1
095340,ISC,82449,84000,2
006110,삼아알미늄,119377,120300,5
035760,CJ ENM,74142,80400,3
298050,효성첨단소재,399071,393500,6
009420,한올바이오파마,37167,33650,4
017800,현대엘리베이,45671,44700,3
204320,HL만도,36654,36400,0
000250,삼천당제약,70546,72000,9
240810,원익IPS,34590,34200,2
004170,신세계,170335,169600,1
298020,효성티앤씨,391620,384000,6
036930,주성엔지니어링,35541,34250,2
011210,현대위아,59249,60400,0
253450,스튜디오드래곤,55652,54400,3
086900,메디톡스,223673,223500,9
003230,삼양식품,217348,216500,1
073240,금호타이어,5706,5550,0
051600,한전KPS,34600,34700,7
