pcc: 0.9987820310124147
rmse: 3175.2174261773007
baseline_rmse0: 3494.7353669615445
baseline_rmse1: 4187.912309017818
Code,Name,Pred,Actual,Label
005930,삼성전자,70869,68000,1
000660,SK하이닉스,131204,127500,1
207940,삼성바이오로직스,754117,723000,3
005935,삼성전자우,56284,54800,1
005490,POSCO홀딩스,484470,445500,4
005380,현대차,186434,182000,8
051910,LG화학,503311,458000,4
000270,기아,83733,82000,8
035420,NAVER,193642,189100,2
006400,삼성SDI,491075,445500,4
247540,에코프로비엠,238906,213000,4
003670,포스코퓨처엠,311997,274000,4
068270,셀트리온,153437,150100,3
035720,카카오,41013,38950,2
028260,삼성물산,104850,105600,0
012330,현대모비스,218016,221000,0
105560,KB금융,55730,54400,0
086520,에코프로,769139,690000,4
055550,신한지주,35084,35350,0
066570,LG전자,108712,108500,1
096770,SK이노베이션,144186,133000,4
032830,삼성생명,71265,72400,0
003550,LG,79395,80200,0
018260,삼성에스디에스,136151,132100,1
000810,삼성화재,252079,259500,0
323410,카카오뱅크,21701,20450,2
086790,하나금융지주,42351,42550,0
034730,SK,144533,143000,8
015760,한국전력,16546,16530,9
033780,KT&G,86997,86900,0
091990,셀트리온헬스케어,68690,66800,3
138040,메리츠금융지주,48912,50500,0
009150,삼성전기,145659,143000,1
329180,HD현대중공업,110435,114700,9
011200,HMM,14494,14850,0
259960,크래프톤,169380,164800,2
010130,고려아연,479254,476500,9
047050,포스코인터내셔널,63286,56300,4
034020,두산에너빌리티,14251,14060,9
316140,우리금융지주,12309,12370,0
024110,기업은행,11688,11720,0
352820,하이브,239768,228500,2
022100,포스코DX,50386,46150,4
030200,KT,32576,32350,0
042660,한화오션,25029,25400,9
003490,대한항공,20064,19890,6
010950,S-Oil,70553,69800,9
090430,아모레퍼시픽,113265,118800,6
009540,HD한국조선해양,97586,99400,9
010140,삼성중공업,7447,7600,9
001570,금양,103078,93000,4
011170,롯데케미칼,130225,139200,0
086280,현대글로비스,169409,171900,0
326030,SK바이오팜,78581,77200,3
012450,한화에어로스페이스,101092,101000,9
066970,엘앤에프,162114,146700,4
036570,엔씨소프트,237730,228500,2
005830,DB손해보험,84794,86400,0
011070,LG이노텍,233827,227500,1
161390,한국타이어앤테크놀로지,37440,37550,0
088980,맥쿼리인프라,12059,12040,0
005070,코스모신소재,166193,152100,4
307950,현대오토에버,168032,166000,1
302440,SK바이오사이언스,60708,61100,3
051900,LG생활건강,389821,399500,6
251270,넷마블,39621,38250,2
