pcc: 0.999778663575864
rmse: 1231.46198966919
baseline_rmse0: 1431.092789319707
baseline_rmse1: 2173.9990856408713
Code,Name,Pred,Actual,Label
005930,삼성전자,71015,71700,33
373220,LG에너지솔루션,450365,442500,14
000660,SK하이닉스,127566,128000,33
207940,삼성바이오로직스,733551,709000,2
005935,삼성전자우,56302,57200,33
005490,POSCO홀딩스,477164,472500,14
005380,현대차,184711,184000,20
051910,LG화학,520981,514000,14
000270,기아,84431,84200,20
035420,NAVER,204146,205500,34
006400,삼성SDI,476961,463000,14
247540,에코프로비엠,244571,243000,14
003670,포스코퓨처엠,307445,303500,14
068270,셀트리온,175832,168000,2
035720,카카오,50180,50500,26
028260,삼성물산,118104,116100,26
012330,현대모비스,232689,232500,20
105560,KB금융,54173,53700,26
086520,에코프로,706051,695000,14
055550,신한지주,36864,36750,26
066570,LG전자,105737,104900,26
096770,SK이노베이션,143292,141500,14
032830,삼성생명,70532,69800,0
003550,LG,83207,82200,26
018260,삼성에스디에스,147356,155200,6
000810,삼성화재,262719,261500,0
323410,카카오뱅크,25939,25550,26
086790,하나금융지주,42195,41750,26
034730,SK,162881,160700,26
015760,한국전력,18700,18790,26
033780,KT&G,90893,90600,0
091990,셀트리온헬스케어,77686,73800,2
017670,SK텔레콤,51868,51800,26
138040,메리츠금융지주,55557,54400,26
009150,삼성전기,135575,137000,33
329180,HD현대중공업,121132,119900,23
011200,HMM,16287,15670,26
259960,크래프톤,210419,205500,22
010130,고려아연,492237,491500,1
047050,포스코인터내셔널,58451,58900,14
034020,두산에너빌리티,15121,15020,44
316140,우리금융지주,12680,12700,26
024110,기업은행,11642,11700,26
352820,하이브,218698,210500,38
022100,포스코DX,56724,57100,14
030200,KT,33248,32900,0
042660,한화오션,27055,22650,23
003490,대한항공,23160,22400,48
010950,S-Oil,69817,70100,26
090430,아모레퍼시픽,131522,130000,40
009540,HD한국조선해양,102006,102000,23
010140,삼성중공업,7845,7630,23
001570,금양,100280,105300,14
402340,SK스퀘어,48967,48050,24
011170,롯데케미칼,154281,154600,26
086280,현대글로비스,178880,177100,20
326030,SK바이오팜,93564,86800,38
012450,한화에어로스페이스,123564,120100,44
066970,엘앤에프,146618,144300,14
377300,카카오페이,45589,45200,26
042700,한미반도체,58516,60800,33
036570,엔씨소프트,267342,269500,26
005830,DB손해보험,82090,81300,0
011070,LG이노텍,238372,243500,33
009830,한화솔루션,34409,33800,26
161390,한국타이어앤테크놀로지,44956,44800,20
088980,맥쿼리인프라,12372,12400,30
005070,코스모신소재,162357,159000,14
307950,현대오토에버,170156,172700,39
302440,SK바이오사이언스,69675,67400,2
051900,LG생활건강,343081,337500,40
251270,넷마블,54152,55500,26
361610,SK아이이테크놀로지,70455,69300,14
028050,삼성엔지니어링,25911,25750,23
267250,HD현대,60575,60900,23
097950,CJ제일제당,324941,319500,0
000100,유한양행,63030,61900,9
004020,현대제철,35257,35550,26
271560,오리온,119027,118600,0
032640,LG유플러스,10354,10350,26
241560,두산밥캣,44012,43600,1
047810,한국항공우주,47628,46650,44
034220,LG디스플레이,13019,12600,26
006800,미래에셋증권,7323,7300,26
028300,HLB,32457,31950,2
196170,알테오젠,74360,74100,2
000720,현대건설,37201,36850,26
005387,현대차2우B,108807,108400,20
078930,GS,42641,42950,26
018880,한온시스템,7210,7260,40
128940,한미약품,305941,303000,7
029780,삼성카드,32967,32650,26
021240,코웨이,50668,50300,0
011780,금호석유,129754,128200,26
011790,SKC,98199,97000,14
180640,한진칼,53646,53600,30
403870,HPSP,35051,36000,33
277810,레인보우로보틱스,163754,164300,37
016360,삼성증권,38710,38650,26
005940,NH투자증권,10395,10340,26
035900,JYP Ent.,98312,97100,1
035250,강원랜드,15661,15750,26
383220,F&F,88143,87800,40
071050,한국금융지주,58460,58000,26
068760,셀트리온제약,91741,85700,2
010620,현대미포조선,79536,79500,23
267260,HD현대일렉트릭,84188,86800,1
003410,쌍용C&E,6024,6060,26
272210,한화시스템,15787,15800,44
058470,리노공업,174215,175500,33
004990,롯데지주,29383,29300,0
064350,현대로템,26736,25800,44
001450,현대해상,30854,31000,0
006260,LS,85235,85100,1
001040,CJ,88247,89500,40
005385,현대차우,107820,107500,20
000990,DB하이텍,54743,56400,33
214150,클래시스,39293,39200,10
008770,호텔신라,67045,66500,40
007070,GS리테일,25253,25000,15
008930,한미사이언스,36388,35700,7
004370,농심,427195,424500,0
263750,펄어비스,40824,40600,34
000120,CJ대한통운,97776,95800,48
051915,LG화학우,312313,312000,14
039490,키움증권,91486,92000,26
088350,한화생명,2819,2820,0
028670,팬오션,4269,4220,26
081660,휠라홀딩스,38853,39000,26
002790,아모레G,29078,28600,40
138930,BNK금융지주,7093,7130,26
282330,BGF리테일,131512,131100,0
030000,제일기획,20152,20050,15
052690,한전기술,59324,59500,44
010120,LS ELECTRIC,74826,76800,1
012750,에스원,59782,59900,0
036460,한국가스공사,24186,24500,26
293490,카카오게임즈,26774,26500,34
023530,롯데쇼핑,79271,79200,40
112610,씨에스윈드,53509,51900,44
175330,JB금융지주,10805,10830,26
014680,한솔케미칼,180414,184300,33
139480,이마트,77304,77900,26
357780,솔브레인,263384,267500,33
079550,LIG넥스원,93202,91500,42
041510,에스엠,93864,92200,1
020150,롯데에너지머티리얼즈,44260,43800,14
298040,효성중공업,189031,196700,1
111770,영원무역,46983,46700,0
039030,이오테크닉스,156492,159200,33
005290,동진쎄미켐,36141,37050,33
047040,대우건설,4483,4560,26
007660,이수페타시스,28880,29450,33
002380,KCC,224426,227500,26
145020,휴젤,157495,153500,36
000880,한화,25383,25400,1
026960,동서,18126,18180,26
112040,위메이드,54134,51600,22
095340,ISC,80009,81700,33
006110,삼아알미늄,119642,126300,14
035760,CJ ENM,75248,77500,22
298050,효성첨단소재,392056,395000,1
009420,한올바이오파마,37629,36500,2
017800,현대엘리베이,45717,45500,43
204320,HL만도,36288,36400,20
000250,삼천당제약,69727,66900,18
240810,원익IPS,34177,34950,33
004170,신세계,172979,172400,40
298020,효성티앤씨,380492,393000,26
036930,주성엔지니어링,32364,33600,33
011210,현대위아,56751,58400,20
253450,스튜디오드래곤,57184,56400,10
086900,메디톡스,223780,219000,2
003230,삼양식품,227775,216500,16
073240,금호타이어,5660,5590,20
051600,한전KPS,34643,34400,44
000080,하이트진로,22873,22850,0
185750,종근당,129626,126200,38
042670,HD현대인프라코어,7906,7920,1
336260,두산퓨얼셀,20879,22550,14
121600,나노신소재,124814,123400,14
007310,오뚜기,398120,397000,0
005850,에스엘,32587,33250,20
004000,롯데정밀화학,58444,59200,26
003620,KG모빌리티,7799,8380,34
006040,동원산업,32397,31850,43
375500,DL이앤씨,37448,38150,26
001440,대한전선,11947,12040,1
000150,두산,85221,86700,39
137310,에스디바이오센서,11136,11320,2
004800,효성,66532,67500,26
139130,DGB금융지주,8310,8350,26
002710,TCC스틸,54715,55900,14
018670,SK가스,149244,155900,25
108320,LX세미콘,90059,91000,14
248070,솔루엠,28787,28200,10
005420,코스모화학,36099,36400,14
005300,롯데칠성,153100,157100,0
145720,덴티움,119245,128000,32
067310,하나마이크론,28197,29100,33
393890,더블유씨피,43414,41900,14
006360,GS건설,16865,16670,26
001740,SK네트웍스,5783,5750,14
328130,루닛,90659,93100,39
000240,한국앤컴퍼니,13318,13590,12
006280,녹십자,119049,117500,2
353200,대덕전자,24124,25100,33
025900,동화기업,68438,66900,14
078600,대주전자재료,81514,82100,14
192820,코스맥스,114729,114700,40
069620,대웅제약,112897,109000,2
034230,파라다이스,13994,14050,40
222800,심텍,33734,34650,33
237690,에스티팜,70177,66600,2
365340,성일하이텍,101130,99700,14
069960,현대백화점,52587,52400,40
120110,코오롱인더,43222,43600,23
280360,롯데웰푸드,133477,132200,0
009240,한샘,50552,51300,0
141080,레고켐바이오,46792,45000,2
213420,덕산네오룩스,45409,46250,33
001120,LX인터내셔널,30121,30950,14
064760,티씨케이,97484,99000,33
096530,씨젠,21815,21450,2
048410,현대바이오,29717,29450,7
137400,피엔티,50912,50800,14
093370,후성,11634,11650,14
214450,파마리서치,114138,113000,10
195940,HK이노엔,42469,41400,2
003690,코리안리,7746,7890,0
