pcc: 0.9998070918081655
rmse: 1546.233488513297
baseline_rmse0: 2047.0723927659453
baseline_rmse1: 3076.108138054496
Code,Name,Pred,Actual,Label
005930,삼성전자,70612,71700,7
373220,LG에너지솔루션,450817,442500,4
000660,SK하이닉스,130613,128000,4
207940,삼성바이오로직스,723925,709000,4
005935,삼성전자우,57340,57200,3
005490,POSCO홀딩스,477394,472500,4
005380,현대차,185553,184000,4
051910,LG화학,521514,514000,4
000270,기아,85201,84200,6
035420,NAVER,204679,205500,1
006400,삼성SDI,477312,463000,4
247540,에코프로비엠,244693,243000,4
003670,포스코퓨처엠,307648,303500,4
068270,셀트리온,172244,168000,1
035720,카카오,50101,50500,1
028260,삼성물산,118289,116100,3
012330,현대모비스,235005,232500,6
105560,KB금융,54258,53700,3
086520,에코프로,706352,695000,4
055550,신한지주,36919,36750,3
066570,LG전자,105886,104900,3
096770,SK이노베이션,143394,141500,4
032830,삼성생명,70560,69800,8
003550,LG,83323,82200,3
018260,삼성에스디에스,150192,155200,9
000810,삼성화재,262567,261500,8
323410,카카오뱅크,26114,25550,4
086790,하나금융지주,42261,41750,3
034730,SK,162666,160700,1
015760,한국전력,18809,18790,0
033780,KT&G,90518,90600,3
091990,셀트리온헬스케어,77644,73800,2
017670,SK텔레콤,51949,51800,3
138040,메리츠금융지주,55647,54400,3
009150,삼성전기,138065,137000,3
329180,HD현대중공업,121641,119900,3
011200,HMM,16400,15670,4
259960,크래프톤,213530,205500,2
010130,고려아연,493379,491500,4
047050,포스코인터내셔널,58494,58900,4
034020,두산에너빌리티,15006,15020,4
316140,우리금융지주,12700,12700,3
024110,기업은행,11661,11700,3
352820,하이브,213566,210500,6
022100,포스코DX,56779,57100,4
030200,KT,33117,32900,3
042660,한화오션,27318,22650,4
003490,대한항공,22877,22400,0
010950,S-Oil,69935,70100,3
090430,아모레퍼시픽,132425,130000,0
009540,HD한국조선해양,102455,102000,3
010140,삼성중공업,7879,7630,3
