pcc: 0.9998261104851102
rmse: 1068.4863003333267
baseline_rmse0: 1431.092789319707
baseline_rmse1: 2173.9990856408713
Code,Name,Pred,Actual,Label
005930,삼성전자,71079,71700,2
373220,LG에너지솔루션,449521,442500,4
000660,SK하이닉스,127710,128000,2
207940,삼성바이오로직스,727523,709000,8
005935,삼성전자우,56357,57200,2
005490,POSCO홀딩스,476171,472500,4
005380,현대차,184001,184000,1
051910,LG화학,520053,514000,4
000270,기아,84126,84200,1
035420,NAVER,205506,205500,6
006400,삼성SDI,476065,463000,4
247540,에코프로비엠,244077,243000,4
003670,포스코퓨처엠,306805,303500,4
068270,셀트리온,174460,168000,8
035720,카카오,50280,50500,0
028260,삼성물산,118344,116100,0
012330,현대모비스,231941,232500,1
105560,KB금융,54280,53700,0
086520,에코프로,704591,695000,4
055550,신한지주,36935,36750,0
066570,LG전자,105951,104900,0
096770,SK이노베이션,143020,141500,4
032830,삼성생명,70275,69800,0
003550,LG,83364,82200,0
018260,삼성에스디에스,147233,155200,0
000810,삼성화재,261890,261500,0
323410,카카오뱅크,25990,25550,0
086790,하나금융지주,42282,41750,0
034730,SK,163220,160700,0
015760,한국전력,18741,18790,0
033780,KT&G,90561,90600,0
091990,셀트리온헬스케어,77090,73800,8
017670,SK텔레콤,51977,51800,0
138040,메리츠금융지주,55674,54400,0
009150,삼성전기,135722,137000,2
329180,HD현대중공업,121989,119900,4
011200,HMM,16323,15670,0
259960,크래프톤,209904,205500,0
010130,고려아연,492502,491500,4
047050,포스코인터내셔널,58328,58900,4
034020,두산에너빌리티,14966,15020,4
316140,우리금융지주,12705,12700,0
024110,기업은행,11665,11700,0
352820,하이브,212360,210500,4
022100,포스코DX,56610,57100,4
030200,KT,33137,32900,0
042660,한화오션,27252,22650,4
003490,대한항공,22789,22400,0
010950,S-Oil,69964,70100,0
090430,아모레퍼시픽,133187,130000,8
009540,HD한국조선해양,102760,102000,4
010140,삼성중공업,7902,7630,4
001570,금양,100091,105300,4
402340,SK스퀘어,48109,48050,2
011170,롯데케미칼,154609,154600,0
086280,현대글로비스,178176,177100,1
326030,SK바이오팜,91712,86800,3
012450,한화에어로스페이스,121913,120100,6
066970,엘앤에프,146326,144300,4
377300,카카오페이,45680,45200,0
042700,한미반도체,58582,60800,2
036570,엔씨소프트,267882,269500,0
005830,DB손해보험,81768,81300,0
011070,LG이노텍,238579,243500,2
009830,한화솔루션,34557,33800,4
161390,한국타이어앤테크놀로지,44789,44800,1
088980,맥쿼리인프라,12400,12400,6
005070,코스모신소재,162037,159000,4
307950,현대오토에버,168696,172700,1
302440,SK바이오사이언스,69124,67400,8
051900,LG생활건강,347388,337500,8
251270,넷마블,54792,55500,8
361610,SK아이이테크놀로지,70323,69300,4
028050,삼성엔지니어링,26094,25750,4
267250,HD현대,60871,60900,0
097950,CJ제일제당,323859,319500,0
000100,유한양행,63306,61900,3
004020,현대제철,35331,35550,0
271560,오리온,118653,118600,0
032640,LG유플러스,10375,10350,0
241560,두산밥캣,44031,43600,4
047810,한국항공우주,47076,46650,4
034220,LG디스플레이,13044,12600,0
006800,미래에셋증권,7337,7300,0
028300,HLB,32204,31950,8
196170,알테오젠,73763,74100,8
000720,현대건설,37279,36850,0
