pcc: 0.9998085369199288
rmse: 1542.4735792915017
baseline_rmse0: 2664.8652714029477
baseline_rmse1: 3752.1435020875683
Code,Name,Pred,Actual,Label
005930,삼성전자,78563,78300,48
000660,SK하이닉스,126583,131000,48
207940,삼성바이오로직스,883241,892432,22
005935,삼성전자우,71473,71200,48
005490,POSCO홀딩스,272949,274500,49
005380,현대차,211010,209000,27
051910,LG화학,636626,615000,26
000270,기아,83183,82200,27
035420,NAVER,380912,378500,48
006400,삼성SDI,672084,655000,26
247540,에코프로비엠,126283,123739,26
003670,포스코퓨처엠,144612,144000,26
068270,셀트리온,193992,190729,22
028260,삼성물산,114894,119000,2
012330,현대모비스,260506,254500,27
105560,KB금융,54153,55000,49
055550,신한지주,36355,36800,49
066570,LG전자,139027,138000,2
096770,SK이노베이션,234737,234672,27
032830,삼성생명,63861,64100,49
018260,삼성에스디에스,157979,156500,2
000810,삼성화재,200946,202000,49
086790,하나금융지주,41737,42050,49
034730,SK,252380,251000,2
015760,한국전력,21619,22100,49
033780,KT&G,77919,79000,49
091990,셀트리온헬스케어,78498,77199,22
138040,메리츠금융지주,41946,44000,49
009150,삼성전기,200580,197500,7
011200,HMM,27950,26900,37
010130,고려아연,511633,511000,49
047050,포스코인터내셔널,22160,22450,49
034020,두산에너빌리티,20939,20400,16
316140,우리금융지주,12560,12700,49
024110,기업은행,10214,10300,49
022100,포스코DX,6631,6560,7
030200,KT,30319,30600,49
042660,한화오션,19868,20478,49
003490,대한항공,30171,29350,16
010950,S-Oil,85885,85700,49
090430,아모레퍼시픽,176242,167000,0
009540,HD한국조선해양,93766,94600,49
001570,금양,4950,4905,26
011170,롯데케미칼,207349,206694,49
086280,현대글로비스,171646,168000,27
012450,한화에어로스페이스,47201,48000,49
066970,엘앤에프,225913,222400,26
042700,한미반도체,18440,18925,48
036570,엔씨소프트,666669,643000,21
005830,DB손해보험,52814,54000,49
011070,LG이노텍,374688,364000,7
009830,한화솔루션,45237,44290,42
161390,한국타이어앤테크놀로지,39371,39700,49
088980,맥쿼리인프라,13611,14018,49
005070,코스모신소재,46069,45588,26
307950,현대오토에버,139681,138000,27
051900,LG생활건강,1115888,1097000,36
251270,넷마블,120219,125000,21
028050,삼성엔지니어링,22448,22900,49
097950,CJ제일제당,391121,387500,14
004020,현대제철,40312,41000,49
271560,오리온,106008,103500,22
032640,LG유플러스,13349,13600,49
241560,두산밥캣,40266,40750,49
047810,한국항공우주,31745,32450,49
034220,LG디스플레이,24738,24600,7
006800,미래에셋증권,8504,8650,49
028300,HLB,32642,31214,3
196170,알테오젠,63285,63143,22
000720,현대건설,43925,44450,49
005387,현대차2우B,100695,101000,27
078930,GS,38632,39100,49
018880,한온시스템,13580,13450,2
128940,한미약품,275873,271055,4
029780,삼성카드,31047,31500,49
021240,코웨이,75522,74400,40
011780,금호석유,172678,166000,42
180640,한진칼,60266,61400,49
016360,삼성증권,44516,44900,49
005940,NH투자증권,12362,12500,49
035900,JYP Ent.,50786,50700,21
035250,강원랜드,24525,24050,16
071050,한국금융지주,79484,80700,49
068760,셀트리온제약,121307,118571,22
010620,현대미포조선,68305,70000,49
267260,HD현대일렉트릭,20230,19900,42
272210,한화시스템,16269,16000,5
058470,리노공업,196452,198300,48
004990,롯데지주,30483,29900,16
064350,현대로템,21265,20800,13
001450,현대해상,22878,22950,49
006260,LS,53998,54100,42
001040,CJ,82660,83400,49
005385,현대차우,99652,98500,27
000990,DB하이텍,72853,72700,48
214150,클래시스,19241,18800,14
008770,호텔신라,78892,78000,16
007070,GS리테일,30123,30400,49
008930,한미사이언스,55072,53209,4
004370,농심,322904,318500,19
000120,CJ대한통운,125685,126000,44
051915,LG화학우,299499,287000,26
039490,키움증권,106970,107000,2
088350,한화생명,2943,2935,49
028670,팬오션,5420,5410,49
081660,휠라홀딩스,35610,35850,16
002790,아모레G,45628,44350,0
138930,BNK금융지주,8210,8400,49
282330,BGF리테일,142821,145500,49
030000,제일기획,22934,22850,49
052690,한전기술,86720,85000,16
010120,LS ELECTRIC,56107,55800,42
012750,에스원,73517,73900,40
036460,한국가스공사,37816,39100,49
023530,롯데쇼핑,88682,87200,16
112610,씨에스윈드,64119,65700,42
175330,JB금융지주,8036,8350,49
014680,한솔케미칼,305544,305500,48
139480,이마트,149491,151000,2
079550,LIG넥스원,68933,68600,6
041510,에스엠,75676,74200,21
020150,롯데에너지머티리얼즈,135340,135000,26
298040,효성중공업,58495,58300,42
111770,영원무역,42848,43650,49
039030,이오테크닉스,118602,119500,48
010060,OCI홀딩스,83579,82644,42
005290,동진쎄미켐,44420,51000,48
047040,대우건설,5714,5770,49
007660,이수페타시스,6959,7310,37
002380,KCC,304262,315000,49
145020,휴젤,156334,153500,14
000880,한화,31107,31400,49
026960,동서,30585,31000,34
112040,위메이드,182336,177900,21
095340,ISC,31501,35350,48
006110,삼아알미늄,26991,27000,6
035760,CJ ENM,140696,138800,16
298050,효성첨단소재,606714,596000,37
009420,한올바이오파마,21451,21050,22
017800,현대엘리베이,41964,41200,13
204320,HL만도,62453,63400,27
000250,삼천당제약,44513,43350,14
240810,원익IPS,41769,42300,48
004170,신세계,256780,254000,16
298020,효성티앤씨,535938,521000,37
036930,주성엔지니어링,20357,21000,48
011210,현대위아,80714,79900,27
253450,스튜디오드래곤,90602,91000,21
086900,메디톡스,141653,137713,8
003230,삼양식품,95756,94800,14
073240,금호타이어,4481,4610,49
051600,한전KPS,38887,38550,16
000080,하이트진로,30735,30150,16
185750,종근당,110011,105982,4
121600,나노신소재,69091,68700,26
007310,오뚜기,452838,456000,49
004000,롯데정밀화학,76667,75000,42
006040,동원산업,46399,45400,5
001440,대한전선,17532,16940,42
000150,두산,117886,118000,16
004800,효성,94816,94700,49
139130,DGB금융지주,9207,9380,49
002710,TCC스틸,9034,9680,6
018670,SK가스,127075,127500,15
108320,LX세미콘,162560,167300,7
005420,코스모화학,13517,13854,26
005300,롯데칠성,132098,133500,49
145720,덴티움,71291,69800,7
067310,하나마이크론,20127,20300,48
006360,GS건설,39630,39600,49
001740,SK네트웍스,4922,5020,49
000240,한국앤컴퍼니,15888,15700,27
006280,녹십자,226451,218000,43
025900,동화기업,98803,98800,26
078600,대주전자재료,106944,106600,26
192820,코스맥스,89462,87400,0
069620,대웅제약,155322,148000,4
034230,파라다이스,15315,14950,16
222800,심텍,44731,45650,48
237690,에스티팜,143492,139200,22
069960,현대백화점,76036,75100,16
120110,코오롱인더,71708,70900,37
280360,롯데웰푸드,122206,120500,34
009240,한샘,97248,92600,37
141080,레고켐바이오,57075,55800,22
213420,덕산네오룩스,57439,56300,7
001120,LX인터내셔널,25882,26450,49
064760,티씨케이,148680,148500,48
096530,씨젠,61223,61000,45
137400,피엔티,43750,43800,26
093370,후성,22885,23100,26
214450,파마리서치,83252,82000,22
003690,코리안리,6560,6740,49
140860,파크시스템스,153166,153000,48
285130,SK케미칼,153243,149000,31
065350,신성델타테크,16827,16600,6
140410,메지온,72556,72466,0
101490,에스앤에스텍,35302,36800,48
278280,천보,349695,348600,26
161890,한국콜마,41270,40250,0
009970,영원무역홀딩스,46122,46750,49
006650,대한유화,189339,183000,42
056190,에스에프에이,36343,36050,48
225570,넥슨게임즈,21203,23450,21
001800,오리온홀딩스,15646,15950,49
294870,HDC현대산업개발,22801,22900,49
103140,풍산,30723,31150,49
009520,포스코엠텍,7901,7820,28
084370,유진테크,50435,51700,48
067630,HLB생명과학,12583,11870,3
085620,미래에셋생명,3946,4005,49
122870,와이지엔터테인먼트,56348,55700,21
085660,차바이오텍,20097,19950,22
100090,SK오션플랜트,21448,21400,42
267270,HD현대건설기계,40400,40550,49
195870,해성디에스,48526,48850,48
298380,에이비엘바이오,22173,22100,22
000670,영풍,647676,655000,49
014820,동원시스템즈,51666,51200,37
166090,하나머티리얼즈,62124,62800,48
001430,세아베스틸지주,19764,19900,49
178920,PI첨단소재,54175,55100,7
281740,레이크머티리얼즈,5570,5460,7
131970,두산테스나,49455,49950,48
012510,더존비즈온,74322,73000,14
069260,TKG휴켐스,23403,23150,42
033290,코웰패션,8488,8450,14
036540,SFA반도체,7656,7690,48
039130,하나투어,74588,72872,16
016790,카나리아바이오,1095,1074,13
105630,한세실업,21507,21950,34
008730,율촌화학,26543,27250,37
002350,넥센타이어,6741,6820,49
010780,아이에스동서,45004,44250,14
336370,솔루스첨단소재,83905,86064,26
189300,인텔리안테크,89920,89064,6
192080,더블유게임즈,58186,57900,21
016380,KG스틸,10471,10600,49
114090,GKL,13201,13150,16
066575,LG전자우,66329,65500,2
091120,이엠텍,31498,31102,37
181710,NHN,44304,45000,21
003030,세아제강지주,101252,103000,49
001530,DI동일,27597,27273,26
002840,미원상사,206847,203500,28
023590,다우기술,23096,22800,37
192650,드림텍,11417,12100,26
003380,하림지주,9177,9450,49
025540,한국단자,75498,76300,27
064550,바이오니아,50968,48600,32
067160,아프리카TV,202264,202700,14
006120,SK디스커버리,46417,46400,2
290650,엘앤씨바이오,36215,36600,22
222080,씨아이에스,14643,14400,6
330590,롯데리츠,5410,5550,49
058610,에스피지,11802,11850,37
004490,세방전지,76648,75900,2
082640,동양생명,6563,6600,49
003540,대신증권,18913,18650,49
015750,성우하이텍,5726,5710,27
090460,비에이치,23071,23200,7
039200,오스코텍,36972,35335,22
178320,서진시스템,21510,21627,1
074600,원익QnC,28216,28600,48
060280,큐렉소,7506,7410,37
000400,롯데손해보험,1565,1620,49
005250,녹십자홀딩스,27677,27150,43
053800,안랩,84506,98900,18
001060,JW중외제약,22302,22144,14
082740,HSD엔진,6548,6542,30
215200,메가스터디교육,83200,82400,14
079160,CJ CGV,17565,17502,16
009450,경동나비엔,54198,54900,42
001680,대상,23513,23300,14
007340,DN오토모티브,60638,71800,49
268280,미원에스씨,223436,218500,34
272290,이녹스첨단소재,46790,46150,7
003850,보령,14853,14600,14
003240,태광산업,1050191,1043000,49
344820,KCC글라스,58790,59900,49
018290,브이티,7215,7150,0
087010,펩트론,10497,11100,22
017960,한국카본,10519,10750,49
078340,컴투스,159014,158200,21
064960,SNT모티브,48350,47050,27
099190,아이센스,14976,15138,34
210980,SK디앤디,31956,31750,42
272450,진에어,16970,16700,16
183300,코미코,65627,67100,48
199800,툴젠,89423,90600,6
005440,현대지에프홀딩스,5604,5644,49
161000,애경케미칼,11129,10850,34
000815,삼성화재우,158365,159000,49
033240,자화전자,25417,25050,7
025980,아난티,10622,10550,13
031430,신세계인터내셔날,29722,29100,0
049770,동원F&B,38089,38937,49
000070,삼양홀딩스,98586,98200,41
194480,데브시스터즈,107079,105200,46
003530,한화투자증권,6189,6390,49
319660,피에스케이,25873,26400,48
095660,네오위즈,31105,36100,21
046890,서울반도체,15059,15400,48
293940,신한알파리츠,7666,7787,49
053610,프로텍,26450,26850,26
031980,피에스케이홀딩스,17882,17900,48
000640,동아쏘시오홀딩스,120869,115000,4
030610,교보증권,8191,8370,49
215000,골프존,170600,174800,11
001720,신영증권,58977,60000,49
030190,NICE평가정보,18333,18000,14
097520,엠씨넥스,56634,57500,48
131290,티에스이,70806,73700,48
281820,케이씨텍,23869,24050,48
119860,커넥트웨이브,26734,26250,14
082270,젬백스,17412,17500,34
005180,빙그레,53172,53200,5
005610,SPC삼립,71024,70800,34
039440,에스티아이,21209,21200,48
014830,유니드,118191,116162,34
237880,클리오,18528,18250,0
182400,엔케이맥스,22249,22450,14
299900,위지윅스튜디오,10005,9950,21
057050,현대홈쇼핑,62405,63400,49
069080,웹젠,28329,28900,21
003470,유안타증권,3915,4020,49
00680K,미래에셋증권2우B,4540,4635,49
170900,동아에스티,71142,70245,14
036810,에프에스티,24931,25350,48
241590,화승엔터프라이즈,16531,16850,16
068400,SK렌터카,10575,10250,16
018250,애경산업,19345,19000,0
007390,네이처셀,18684,17800,35
091700,파트론,13239,13300,7
103590,일진전기,5152,5110,33
001470,삼부토건,2234,2325,23
284740,쿠쿠홈시스,38612,39200,34
034310,NICE,16266,16000,14
144510,지씨셀,100556,101700,43
095500,미래나노텍,7576,8330,7
049070,인탑스,30868,32250,7
179900,유티아이,16203,16000,37
003570,SNT다이내믹스,8995,8960,37
041190,우리기술투자,9333,9140,12
002240,고려제강,17643,17894,49
043150,바텍,36454,35350,7
054450,텔레칩스,18498,17400,6
084850,아이티엠반도체,43645,42600,7
032500,케이엠더블유,41342,41150,1
034120,SBS,48040,49350,16
068240,다원시스,28504,28767,7
020000,한섬,35468,35600,49
000370,한화손해보험,3653,3710,49
032190,다우데이타,14970,15100,7
001390,KG케미칼,6153,6150,1
200130,콜마비앤에이치,31218,31050,14
249420,일동제약,30498,33600,14
056080,유진로봇,5521,5550,37
200880,서연이화,7123,7050,16
064290,인텍플러스,31069,32450,48
060250,NHN KCP,31676,30350,31
145990,삼양사,62061,62700,41
006730,서부T&D,8922,8772,7
004430,송원산업,21345,21450,6
091810,티웨이항공,2936,2941,16
243070,휴온스,48915,47700,14
003000,부광약품,13262,12900,22
058650,세아홀딩스,102233,104500,49
079370,제우스,23126,23450,48
286940,롯데정보통신,35805,36150,37
005090,SGC에너지,47087,47300,27
017940,E1,47738,48200,34
095700,제넥신,43073,42345,22
229640,LS전선아시아,7994,7930,42
010690,화신,8434,8320,27
206640,바디텍메드,16501,16800,45
001725,신영증권우,59074,60100,49
214320,이노션,26846,27700,49
101160,월덱스,27713,28650,48
123890,한국자산신탁,4020,4085,49
900140,엘브이엠씨홀딩스,2465,2456,5
052020,에스티큐브,7768,7554,14
108670,LX하우시스,61456,61500,49
012630,HDC,10274,10450,49
183190,아세아시멘트,12324,12200,33
093050,LF,16779,17250,49
033640,네패스,37442,38350,48
095610,테스,28963,29750,48
093320,케이아이엔엑스,50249,49950,14
118990,모트렉스,11104,11023,6
017810,풀무원,17421,17300,14
001820,삼화콘덴서,60679,60200,7
218410,RFHIC,34759,35650,1
023160,태광,10617,10850,49
151860,KG ETS,15042,14650,37
007810,코리아써키트,31470,31200,7
006405,삼성SDI우,352728,346500,26
228760,지노믹트리,13444,13300,31
011930,신성이엔지,2099,2145,42
004690,삼천리,88500,90800,15
200710,에이디테크놀로지,23816,24100,48
090435,아모레퍼시픽우,74520,73200,0
001200,유진투자증권,3530,3595,49
033500,동성화인텍,11354,11500,49
322510,제이엘케이,7365,7630,37
119610,인터로조,27501,27400,37
241710,코스메카코리아,12901,12950,0
094800,맵스리얼티1,4538,4675,49
200670,휴메딕스,24370,23950,14
003520,영진약품,5396,5290,31
047920,HLB제약,14272,13500,3
306200,세아제강,94130,95600,49
079810,디이엔티,4212,4157,26
084690,대상홀딩스,9651,9700,34
094170,동운아나텍,8516,8790,7
089970,에이피티씨,21287,22150,48
009290,광동제약,7569,7430,43
042000,카페24,27808,27400,11
005690,파미셀,12944,13050,45
228670,레이,29386,28350,7
089030,테크윙,11130,11443,48
002310,아세아제지,52776,52600,37
089010,켐트로닉스,28565,28800,7
041960,코미팜,7990,7811,45
117730,티로보틱스,9502,9550,37
014620,성광벤드,7721,7980,49
000490,대동,10229,10100,37
110990,디아이티,9821,9360,7
000680,LS네트웍스,2978,3010,34
003545,대신증권우,15924,15850,49
126560,현대퓨처넷,4320,4215,8
025860,남해화학,10465,10500,13
003220,대원제약,16673,16214,31
013030,하이록코리아,16536,16750,49
082920,비츠로셀,14747,14350,14
034950,한국기업평가,75294,76800,49
029960,코엔텍,8845,8620,14
217270,넵튠,26275,28000,21
001940,KISCO홀딩스,14850,14550,33
007690,국도화학,58201,56500,33
030520,한글과컴퓨터,26559,26550,21
011810,STX,4251,4250,30
050890,쏠리드,6549,6570,1
001340,백광산업,5257,5160,6
027410,BGF,5378,5290,37
002030,아세아,128286,128000,33
016800,퍼시스,37670,35800,35
083310,엘오티베큠,16850,17200,48
102710,이엔에프테크놀로지,34141,34250,48
005810,풍산홀딩스,28419,28300,49
267980,매일유업,66987,68700,49
122640,예스티,13310,13850,6
038500,삼표시멘트,4797,4730,13
039840,디오,37884,37350,7
060150,인선이엔티,11126,11100,14
060720,KH바텍,26115,26700,7
033100,제룡전기,5269,5220,13
108490,로보티즈,22796,24700,37
104830,원익머트리얼즈,35090,35400,48
060980,HL홀딩스,47062,45850,27
029530,신도리코,32087,33050,49
002320,한진,30613,30100,44
298000,효성화학,306354,303500,42
097230,HJ중공업,7722,8040,15
004700,조광피혁,54658,54600,30
061970,LB세미콘,13217,13350,48
041830,인바디,23830,23150,7
025320,시노펙스,2742,2718,5
243840,신흥에스이씨,61833,63000,26
042600,새로닉스,27807,27400,26
025770,한국정보통신,9465,9430,23
054950,제이브이엠,14130,13950,37
