pcc: 0.9995334661074069
rmse: 2287.146677849936
baseline_rmse0: 2769.7989637539126
baseline_rmse1: 3707.939224079785
Code,Name,Pred,Actual,Label
005930,삼성전자,73725,72700,4
373220,LG에너지솔루션,434800,447000,3
000660,SK하이닉스,133250,130400,4
207940,삼성바이오로직스,728342,729000,0
005935,삼성전자우,58713,57800,4
005490,POSCO홀딩스,477603,483000,3
005380,현대차,186412,184800,2
051910,LG화학,503770,504000,3
000270,기아,84910,86000,2
035420,NAVER,210503,207500,4
006400,삼성SDI,454710,471500,3
247540,에코프로비엠,244383,269500,3
003670,포스코퓨처엠,304296,327500,3
068270,셀트리온,165298,161700,0
035720,카카오,51190,50500,0
028260,삼성물산,118930,117800,1
012330,현대모비스,234366,230500,2
105560,KB금융,52368,51700,1
086520,에코프로,710373,740000,3
055550,신한지주,36976,36300,1
066570,LG전자,104424,103400,1
096770,SK이노베이션,141197,142300,3
032830,삼성생명,70353,69400,1
003550,LG,82941,82200,1
018260,삼성에스디에스,161122,166200,4
000810,삼성화재,270811,262000,1
323410,카카오뱅크,26279,26000,1
086790,하나금융지주,41574,41250,1
034730,SK,166469,164700,1
015760,한국전력,18965,18570,1
033780,KT&G,90529,88500,1
091990,셀트리온헬스케어,72924,71300,0
017670,SK텔레콤,52261,51900,1
138040,메리츠금융지주,54962,54200,1
009150,삼성전기,146094,146100,4
329180,HD현대중공업,125534,122700,2
011200,HMM,15459,15450,1
259960,크래프톤,216384,216000,0
010130,고려아연,495735,493000,2
047050,포스코인터내셔널,57571,58000,3
034020,두산에너빌리티,15312,15070,2
316140,우리금융지주,12911,12800,1
024110,기업은행,11712,11720,1
352820,하이브,212751,215000,3
022100,포스코DX,57436,58000,3
030200,KT,33475,33300,1
042660,한화오션,25644,26800,2
003490,대한항공,22332,22100,1
010950,S-Oil,69849,69100,1
090430,아모레퍼시픽,133069,132900,1
009540,HD한국조선해양,108468,107500,2
010140,삼성중공업,8194,8020,2
001570,금양,115524,121000,3
402340,SK스퀘어,50910,49950,4
011170,롯데케미칼,158778,157000,1
086280,현대글로비스,178578,177700,2
326030,SK바이오팜,87260,84700,0
012450,한화에어로스페이스,119925,123100,2
066970,엘앤에프,145353,168700,3
377300,카카오페이,46484,45550,0
042700,한미반도체,62469,61100,4
036570,엔씨소프트,264802,263500,1
005830,DB손해보험,82144,81500,1
011070,LG이노텍,240900,236500,4
161390,한국타이어앤테크놀로지,46019,44900,2
088980,맥쿼리인프라,12621,12430,4
005070,코스모신소재,158156,164600,3
307950,현대오토에버,184626,191200,2
302440,SK바이오사이언스,68623,67800,0
051900,LG생활건강,337655,331500,1
251270,넷마블,59904,58900,0
361610,SK아이이테크놀로지,68936,70100,3
028050,삼성엔지니어링,26144,25000,2
267250,HD현대,61737,61000,2
097950,CJ제일제당,317747,315500,1
000100,유한양행,62919,61700,0
004020,현대제철,35926,35100,1
271560,오리온,118011,116600,1
032640,LG유플러스,10462,10410,1
241560,두산밥캣,45262,45250,2
047810,한국항공우주,46575,46350,2
034220,LG디스플레이,12872,12430,4
006800,미래에셋증권,7225,7080,1
028300,HLB,32612,31950,0
196170,알테오젠,79122,78600,0
000720,현대건설,37274,35850,1
005387,현대차2우B,109709,109600,2
078930,GS,43167,42400,1
018880,한온시스템,7264,7190,1
128940,한미약품,309571,303500,0
029780,삼성카드,32679,32400,1
021240,코웨이,52662,50400,1
011780,금호석유,129002,127600,1
011790,SKC,97424,95600,3
180640,한진칼,53956,53800,1
403870,HPSP,41726,42900,4
277810,레인보우로보틱스,192936,177100,4
016360,삼성증권,38674,38350,1
005940,NH투자증권,10433,10280,1
035900,JYP Ent.,95331,93900,2
035250,강원랜드,15585,15540,1
