pcc: 0.9986361685086609
rmse: 3309.749681320326
baseline_rmse0: 3494.7353669615445
baseline_rmse1: 4187.912309017818
Code,Name,Pred,Actual,Label
005930,삼성전자,71078,68000,11
000660,SK하이닉스,131616,127500,11
207940,삼성바이오로직스,755359,723000,42
005935,삼성전자우,56459,54800,11
005490,POSCO홀딩스,483735,445500,26
005380,현대차,183301,182000,29
051910,LG화학,505424,458000,35
000270,기아,82304,82000,29
035420,NAVER,191001,189100,3
006400,삼성SDI,493071,445500,35
247540,에코프로비엠,239969,213000,35
003670,포스코퓨처엠,313419,274000,35
068270,셀트리온,153732,150100,42
035720,카카오,40464,38950,3
028260,삼성물산,104859,105600,15
012330,현대모비스,217991,221000,29
105560,KB금융,55432,54400,6
086520,에코프로,772347,690000,35
055550,신한지주,34916,35350,6
066570,LG전자,108831,108500,28
096770,SK이노베이션,144789,133000,35
032830,삼성생명,70926,72400,6
003550,LG,79398,80200,15
018260,삼성에스디에스,134658,132100,3
000810,삼성화재,250944,259500,6
323410,카카오뱅크,21468,20450,3
086790,하나금융지주,42150,42550,6
034730,SK,142057,143000,15
015760,한국전력,16360,16530,15
033780,KT&G,86592,86900,6
091990,셀트리온헬스케어,68823,66800,42
138040,메리츠금융지주,48630,50500,6
009150,삼성전기,146090,143000,11
329180,HD현대중공업,110930,114700,8
011200,HMM,14493,14850,15
259960,크래프톤,166938,164800,3
010130,고려아연,483886,476500,26
047050,포스코인터내셔널,63326,56300,26
034020,두산에너빌리티,14274,14060,5
316140,우리금융지주,12250,12370,6
024110,기업은행,11631,11720,6
352820,하이브,236902,228500,3
022100,포스코DX,50523,46150,26
030200,KT,32427,32350,6
042660,한화오션,25129,25400,8
003490,대한항공,20103,19890,46
010950,S-Oil,69862,69800,15
090430,아모레퍼시픽,113472,118800,46
009540,HD한국조선해양,97988,99400,8
010140,삼성중공업,7476,7600,8
001570,금양,103537,93000,35
011170,롯데케미칼,130231,139200,15
086280,현대글로비스,169443,171900,29
326030,SK바이오팜,78718,77200,42
012450,한화에어로스페이스,101129,101000,5
066970,엘앤에프,162822,146700,35
036570,엔씨소프트,234742,228500,3
005830,DB손해보험,84373,86400,6
011070,LG이노텍,230714,227500,23
161390,한국타이어앤테크놀로지,37457,37550,29
088980,맥쿼리인프라,12079,12040,30
005070,코스모신소재,166844,152100,35
307950,현대오토에버,162689,166000,29
302440,SK바이오사이언스,60812,61100,42
051900,LG생활건강,390575,399500,46
251270,넷마블,39119,38250,3
361610,SK아이이테크놀로지,67801,62800,35
028050,삼성엔지니어링,28348,27850,8
267250,HD현대,59547,60800,15
097950,CJ제일제당,276133,281000,15
000100,유한양행,56706,57600,49
004020,현대제철,32380,33250,15
271560,오리온,120097,119700,46
032640,LG유플러스,10064,10220,6
241560,두산밥캣,46412,44800,8
047810,한국항공우주,48930,48950,5
034220,LG디스플레이,12191,12580,23
006800,미래에셋증권,6406,6530,15
028300,HLB,30309,28950,42
196170,알테오젠,54150,54800,49
000720,현대건설,36204,34900,31
005387,현대차2우B,104008,104500,29
078930,GS,39146,39850,15
018880,한온시스템,7178,7150,29
128940,한미약품,281520,278500,42
029780,삼성카드,30613,30900,6
021240,코웨이,42310,42300,15
011780,금호석유,121489,125200,15
011790,SKC,75967,71600,35
180640,한진칼,43764,43000,3
277810,레인보우로보틱스,138787,130000,33
016360,삼성증권,36345,36600,15
005940,NH투자증권,9926,10010,15
035900,JYP Ent.,109825,106900,39
035250,강원랜드,14976,14970,46
071050,한국금융지주,50720,51200,15
068760,셀트리온제약,68812,66100,42
010620,현대미포조선,72457,74200,8
267260,HD현대일렉트릭,74755,74500,8
003410,쌍용C&E,5564,5540,15
272210,한화시스템,12191,12450,5
058470,리노공업,160330,153800,11
004990,롯데지주,24912,26000,15
064350,현대로템,26119,25850,5
001450,현대해상,31505,31900,6
006260,LS,87344,84300,26
001040,CJ,78199,82000,46
005385,현대차우,103077,102700,29
000990,DB하이텍,53361,51700,11
214150,클래시스,33527,32600,46
008770,호텔신라,71624,71600,46
007070,GS리테일,23457,24600,15
008930,한미사이언스,31934,31600,42
004370,농심,443813,444000,46
263750,펄어비스,50363,48750,48
000120,CJ대한통운,75580,76100,15
051915,LG화학우,314197,293500,35
039490,키움증권,77695,80700,15
088350,한화생명,2795,2810,6
028670,팬오션,4306,4440,15
081660,휠라홀딩스,37440,37050,15
002790,아모레G,26672,28150,46
138930,BNK금융지주,6948,7040,6
282330,BGF리테일,133028,133100,20
030000,제일기획,19928,20200,15
052690,한전기술,57001,55500,5
010120,LS ELECTRIC,76692,75200,26
012750,에스원,57337,56400,15
036460,한국가스공사,23625,23350,8
293490,카카오게임즈,24614,23700,3
023530,롯데쇼핑,72015,73100,46
112610,씨에스윈드,50902,50600,8
175330,JB금융지주,10299,10270,6
014680,한솔케미칼,162129,154600,11
139480,이마트,72869,74100,15
