pcc: 0.9997716627149706
rmse: 1688.9467078626253
baseline_rmse0: 2047.0723927659453
baseline_rmse1: 3076.108138054496
Code,Name,Pred,Actual,Label
005930,삼성전자,72330,71700,8
373220,LG에너지솔루션,452721,442500,14
000660,SK하이닉스,128015,128000,10
207940,삼성바이오로직스,723266,709000,1
005935,삼성전자우,57366,57200,8
005490,POSCO홀딩스,479372,472500,14
005380,현대차,182592,184000,3
051910,LG화학,523828,514000,14
000270,기아,83426,84200,3
035420,NAVER,205322,205500,8
006400,삼성SDI,479422,463000,14
247540,에코프로비엠,245679,243000,14
003670,포스코퓨처엠,308898,303500,14
068270,셀트리온,172803,168000,8
035720,카카오,50255,50500,8
028260,삼성물산,118327,116100,18
012330,현대모비스,232550,232500,2
105560,KB금융,54292,53700,18
086520,에코프로,709369,695000,14
055550,신한지주,36944,36750,18
066570,LG전자,105947,104900,18
096770,SK이노베이션,144000,141500,14
032830,삼성생명,70270,69800,18
003550,LG,83386,82200,18
018260,삼성에스디에스,147082,155200,2
000810,삼성화재,261836,261500,18
323410,카카오뱅크,26239,25550,14
086790,하나금융지주,42279,41750,18
034730,SK,163148,160700,8
015760,한국전력,18735,18790,18
033780,KT&G,90557,90600,18
091990,셀트리온헬스케어,76359,73800,8
017670,SK텔레콤,51817,51800,13
138040,메리츠금융지주,55505,54400,13
009150,삼성전기,137695,137000,13
329180,HD현대중공업,121318,119900,13
011200,HMM,16485,15670,14
259960,크래프톤,210472,205500,16
010130,고려아연,489739,491500,13
047050,포스코인터내셔널,58751,58900,14
034020,두산에너빌리티,15073,15020,14
316140,우리금융지주,12707,12700,18
024110,기업은행,11666,11700,18
352820,하이브,212676,210500,1
022100,포스코DX,57046,57100,14
030200,KT,33125,32900,18
042660,한화오션,27455,22650,14
003490,대한항공,22724,22400,13
010950,S-Oil,69959,70100,8
090430,아모레퍼시픽,131968,130000,18
009540,HD한국조선해양,102191,102000,13
010140,삼성중공업,7884,7630,8
001570,금양,100824,105300,14
402340,SK스퀘어,48362,48050,3
011170,롯데케미칼,154155,154600,13
086280,현대글로비스,178399,177100,13
326030,SK바이오팜,91820,86800,9
012450,한화에어로스페이스,123305,120100,17
066970,엘앤에프,147333,144300,14
377300,카카오페이,46101,45200,14
042700,한미반도체,57826,60800,11
036570,엔씨소프트,267726,269500,8
005830,DB손해보험,81788,81300,18
011070,LG이노텍,239205,243500,10
009830,한화솔루션,34474,33800,8
161390,한국타이어앤테크놀로지,45425,44800,14
